mr. speaker  i rise for a constitutional point of order .,Democratic
mr. speaker  consistent with the oath of office that i just took  i would request that the question of consideration be put to the body .,Democratic
mr. speaker  the resolution we are preparing to consider  the proposed rules for the 109th congress  in my judgment violates the united states constitution which we were just sworn to uphold and defend .,Democratic
it does so by allowing a very limited number of members  potentially only a handful  to constitute the house of representatives .,Democratic
article 1  section 5 of the constitution states that `` each house shall be the judge of the elections  returns and qualifications of its members  and a majority of each shall constitute a quorum to do business ; but a small number adjourn from day to day  and may be authorized to compel the attendance of absent members.,Democratic
'' unfortunately  h. res.,Democratic
5 seeks to allow a small number not just to adjourn or compel attendance  as the constitution stipulates  but to enact laws  declare war  impeach the president  and fulfill all other article i responsibilities .,Democratic
the very first act of the very first congress of the united states was to recess day after day after day because they lacked a quorum .,Democratic
just moments ago everyone in this body took an oath to uphold and defend the constitution  and now our first official vote is by rule to undermine a fundamental principle of that constitution  i.e.  what is a quorum .,Democratic
it is my understanding that the speaker is reluctant to judge on matters of constitutionality .,Democratic
i respect that .,Democratic
but i would reserve and inform the speaker it is my intent to ask the question of consideration to be put .,Democratic
mr. speaker  i rise in opposition to the rules package that we have before us today .,Democratic
it is outrageous that my republican colleagues have placed before us a rules package that at best lacks integrity  and at worst is completely unethical .,Democratic
as the highest body of elected officials in our country  we should be held to the highest ethical standards .,Democratic
but instead  my republican colleagues have opted to put before us a rules package that actually lowers our ethics standards  so that they may promote their own agenda  at whatever cost .,Democratic
this rules package makes it far more difficult for ethics investigations to take place .,Democratic
by requiring a majority of the ethics committee before an investigation can even begin  we are in great danger of diminishing the integrity of our great institution .,Democratic
with this new rule  the majority party can effectively block any ethics investigation of a member of their party .,Democratic
this is an abuse of power .,Democratic
and it 's not just democrats who oppose this plan .,Democratic
americans across the country have expressed their opposition to this plan .,Democratic
my democratic colleagues and i have a better plan that will strengthen the ethics rules to improve congressional accountability and to make sure that legislation is properly considered .,Democratic
the republican plan fails to close a loophole that allows legislation to be considered before members have read it .,Democratic
last year this led to the passage of a provision that would have let the federal government deeply invade citizens ' privacy by reading their tax returns .,Democratic
i am appalled that the republicans have failed to include the democratic provision to tighten this loophole .,Democratic
mr. speaker  i urge my colleagues to vote `` no '' on the resolution  so that we do not allow this rules package to become law .,Democratic
mr. speaker  the chairman of the committee on standards of official conduct is correct when he says that ethics reform must be bipartisan and if the house is to have meaningful bipartisan ethics process  changes of this magnitude can be made  as they were in 1997  only after thoughtful  careful consideration on a bipartisan basis .,Democratic
there has been no effort to look at the rules changes on ethics in a bipartisan manner .,Democratic
in 1997 when i co-chaired the committee on ethics reform along with bob livingston  the changes that we made were done after deliberation  and after democrats and republicans  working together  came before the house and we did make major changes .,Democratic
and we instituted the 45-day rule for assigning a proper complaint for investigation ; but we changed the rules in 1997 .,Democratic
we made it clear that you can move towards an informal investigation without a finding that it merits further inquiry or a resolution of preliminary inquiry because we did not want any matter of guilt or wrongdoing for the committee to be able to get the facts necessary to decide whether to go to formal investigation .,Democratic
yet this rules change which would allow after 45 days inaction to dismiss a complaint makes inaction action  and it can be done on a very partisan basis .,Democratic
now  that is wrong .,Democratic
that is not how it should be .,Democratic
the rules as they are currently configured in order to move a complaint past the committee  you have to have the bipartisan agreement of the committee because you have to have a vote in the committee .,Democratic
it guarantees a process will move forward in a bipartisan manner and  in fact  the committee on standards of official conduct has operated in a bipartisan manner because of the way the rules are configured .,Democratic
if this rule is changed  you are making it much more likely that the committee on standards of official conduct will act in a very partisan matter because they will be able to delay for 45 days  which does not take a lot of effort to figure out how to delay for 45 days .,Democratic
we have enough lawyers on the committee on standards of official conduct that will be able to figure out that one .,Democratic
and it will be done on a partisan basis that will leave a cloud on the member and a cloud on this institution .,Democratic
you should not have that in this rule .,Democratic
mr. speaker  as has been the case for a number of years  the rules package put forward by my republican colleagues continues to trample on the rights of the minority .,Democratic
it will do nothing to stop the abusive practices in this house such as the 3-hour vote on the medicare bill in the middle of the night .,Democratic
in fact  it allows the speaker added discretion to reconsider votes that the republican majority loses .,Democratic
in addition  the new rules require an affirmative vote by the ethics committee before any action can be taken .,Democratic
this  in effect  gives my republican colleagues the right to block any investigation .,Democratic
i would like to focus on one portion of the package that will create a permanent committee on homeland security .,Democratic
while i am sure some of my colleagues believe that the new committee will improve our security  unfortunately this new committee will be nothing more than a costly addition to the expenditures of the legislative branch  and it will likely breed a new wave of `` turf warfare '' among the committees of the house .,Democratic
we simply do not need a special committee every time we face a crisis .,Democratic
the process under which we are being asked to approve this change is particularly troublesome .,Democratic
i call your attention to the last time the house felt compelled to create a new committee .,Democratic
in 1980  some members of the house believed that it would be wise to create an energy committee .,Democratic
it used a careful process in which a committee on committees was created  consisting of democrats and republicans .,Democratic
when that committee reported its recommendations to the house  substitutes were permitted  and the result reflected a thoughtful understanding of how best to achieve the objectives .,Democratic
in contrast  we are now being asked to consider a proposal which was sent to us just yesterday .,Democratic
it was hatched in secret by our republican colleagues without the input of any democrats .,Democratic
